age,job,marital,education
57,retired,divorced,primary
42,management,married,tertiary
42,admin.,single,secondary
58,management,divorced,tertiary
48,management,divorced,tertiary
34,technician,divorced,secondary
46,admin.,single,secondary
38,management,married,tertiary
60,housemaid,married,secondary
42,entrepreneur,married,secondary
40,blue-collar,married,primary
40,blue-collar,married,primary
27,self-employed,single,tertiary
39,blue-collar,married,secondary
59,self-employed,married,tertiary
34,management,married,tertiary
54,blue-collar,married,primary
32,blue-collar,single,secondary
45,management,married,tertiary
31,services,married,secondary
44,blue-collar,married,primary
31,blue-collar,married,tertiary
61,retired,married,secondary
34,management,married,tertiary
27,technician,single,secondary
40,blue-collar,married,primary
43,blue-collar,married,primary
71,retired,divorced,secondary
29,blue-collar,married,primary
44,management,married,tertiary
33,admin.,married,secondary
57,blue-collar,married,primary
58,retired,married,primary
56,blue-collar,single,primary
34,blue-collar,single,primary
43,blue-collar,divorced,primary
41,blue-collar,married,primary
31,services,single,secondary
42,self-employed,married,primary
47,technician,divorced,secondary
45,self-employed,married,secondary
34,housemaid,married,tertiary
31,admin.,single,tertiary
40,unemployed,divorced,secondary
34,technician,single,tertiary
43,blue-collar,married,primary
54,self-employed,married,secondary
28,blue-collar,divorced,primary
57,management,married,primary
40,self-employed,married,tertiary
52,management,married,tertiary
34,technician,single,tertiary
30,admin.,single,secondary
36,self-employed,single,tertiary
30,management,single,tertiary
42,management,single,tertiary
52,management,married,primary
37,management,single,tertiary
54,blue-collar,married,primary
29,management,single,tertiary
60,admin.,divorced,secondary
33,blue-collar,married,primary
32,technician,single,tertiary
36,technician,divorced,secondary
52,blue-collar,divorced,primary
26,technician,single,secondary
58,management,divorced,tertiary
57,blue-collar,married,primary
48,blue-collar,married,primary
49,blue-collar,married,primary
42,technician,single,secondary
42,self-employed,married,secondary
50,services,married,secondary
44,management,married,tertiary
35,admin.,single,tertiary
33,blue-collar,married,primary
33,management,single,primary
27,management,married,tertiary
34,blue-collar,married,primary
36,blue-collar,married,secondary
57,services,married,primary
41,management,married,tertiary
49,management,married,tertiary
58,retired,married,secondary
40,blue-collar,married,primary
54,technician,single,secondary
54,technician,married,secondary
47,management,married,tertiary
52,services,married,primary
53,blue-collar,married,primary
48,technician,divorced,tertiary
25,admin.,single,secondary
42,blue-collar,married,primary
54,technician,married,secondary
33,blue-collar,divorced,secondary
45,retired,married,primary
36,blue-collar,married,primary
51,blue-collar,divorced,primary
48,technician,married,primary
30,admin.,single,secondary
42,blue-collar,divorced,primary
33,blue-collar,married,primary
35,management,single,tertiary
59,self-employed,married,tertiary
32,technician,divorced,secondary
34,technician,married,secondary
30,services,single,secondary
35,management,married,tertiary
32,self-employed,single,tertiary
46,unemployed,single,tertiary
44,services,divorced,secondary
39,blue-collar,single,primary
46,management,single,tertiary
39,technician,single,secondary
30,services,single,tertiary
31,blue-collar,married,secondary
26,management,single,tertiary
40,blue-collar,married,primary
37,technician,married,tertiary
38,unemployed,married,primary
36,admin.,divorced,secondary
27,admin.,married,secondary
33,unknown,married,tertiary
31,management,single,tertiary
48,blue-collar,married,primary
46,blue-collar,married,secondary
38,blue-collar,single,primary
28,entrepreneur,single,tertiary
58,technician,married,primary
34,technician,single,secondary
27,management,single,tertiary
52,entrepreneur,married,primary
32,technician,married,tertiary
50,blue-collar,married,primary
41,management,married,tertiary
27,self-employed,single,tertiary
34,technician,single,tertiary
33,blue-collar,single,tertiary
38,admin.,married,secondary
28,admin.,married,tertiary
39,management,married,tertiary
23,blue-collar,married,primary
26,student,single,primary
42,housemaid,single,primary
38,blue-collar,married,primary
32,blue-collar,married,secondary
41,entrepreneur,single,secondary
41,management,married,primary
37,services,married,secondary
31,technician,married,tertiary
29,student,single,tertiary
26,blue-collar,married,secondary
56,blue-collar,married,primary
57,retired,married,primary
34,management,single,tertiary
60,blue-collar,married,primary
54,management,married,tertiary
33,blue-collar,single,secondary
34,unemployed,married,primary
33,technician,married,secondary
39,admin.,married,secondary
40,blue-collar,married,primary
48,blue-collar,married,primary
34,management,single,tertiary
32,blue-collar,single,primary
32,admin.,single,tertiary
39,services,married,secondary
37,admin.,single,tertiary
29,blue-collar,divorced,primary
34,management,single,tertiary
47,blue-collar,married,primary
39,technician,married,secondary
49,blue-collar,married,primary
31,management,single,tertiary
31,management,married,tertiary
60,retired,married,secondary
41,management,married,primary
50,management,married,tertiary
59,retired,divorced,primary
42,services,married,secondary
