Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
No Time to Die,2021.0,7.6,107163.0,"Action, Adventure, Thriller",163.0,Film,PG-13,-1.0,Mild,Moderate,Mild,Mild,Moderate
The Guilty,2021.0,6.3,64375.0,"Crime, Drama, Thriller",90.0,Film,R,-1.0,None,None,Severe,None,Moderate
The Many Saints of Newark,2021.0,6.4,27145.0,"Crime, Drama",120.0,Film,R,-1.0,Moderate,Severe,Severe,Moderate,Moderate
Venom: Let There Be Carnage,2021.0,6.4,30443.0,"Action, Adventure, Sci-Fi",97.0,Film,PG-13,-1.0,None,Moderate,Moderate,Mild,Moderate
Dune,2021.0,8.3,84636.0,"Action, Adventure, Drama",155.0,Film,PG-13,-1.0,None,Moderate,None,Mild,Moderate
Ted Lasso,2021.0,8.8,117562.0,"Comedy, Drama, Sport",30.0,Series,TV-MA,23.0,Mild,None,Severe,Mild,None
Free Guy,2021.0,7.3,153835.0,"Action, Adventure, Comedy",115.0,Film,PG-13,-1.0,Mild,Moderate,Moderate,None,Mild
House of the Dragon,2021.0,-1.0,-1.0,"Action, Adventure, Drama",-1.0,Series,None,10.0,No Rate,No Rate,No Rate,No Rate,No Rate
What If...?,2021.0,7.6,51959.0,"Animation, Action, Adventure",-1.0,Series,TV-14,18.0,None,Moderate,Mild,Mild,Moderate
Sex Education,2021.0,8.3,220201.0,"Comedy, Drama",45.0,Series,TV-MA,25.0,Severe,Mild,Severe,Moderate,Mild
The Walking Dead,2021.0,8.2,906327.0,"Drama, Horror, Thriller",44.0,Series,TV-14,177.0,Mild,Severe,Moderate,Mild,Severe
The Chestnut Man,2021.0,7.9,15434.0,"Crime, Drama, Mystery",50.0,Series,TV-MA,6.0,Mild,Moderate,Mild,None,Moderate
Foundation,2021.0,7.4,16675.0,"Drama, Sci-Fi",-1.0,Series,TV-14,11.0,Mild,Moderate,Mild,No Rate,Mild
The Sopranos,2021.0,9.2,340006.0,"Crime, Drama",55.0,Series,TV-MA,86.0,Severe,Severe,Severe,Severe,Severe
Only Murders in the Building,2021.0,8.3,22988.0,"Comedy, Crime, Drama",-1.0,Series,TV-MA,11.0,Mild,Moderate,Severe,Mild,Mild
American Horror Story,2021.0,8.0,296306.0,"Drama, Horror, Thriller",60.0,Series,TV-MA,116.0,Severe,Severe,Severe,Severe,Severe
Seinfeld,2021.0,8.8,272028.0,Comedy,22.0,Series,TV-PG,174.0,Mild,Mild,Mild,Mild,None
Grey's Anatomy,2021.0,7.5,275094.0,"Drama, Romance",41.0,Series,TV-14,384.0,Moderate,Severe,Mild,Moderate,Moderate
Game of Thrones,2021.0,9.2,1885776.0,"Action, Adventure, Drama",57.0,Series,TV-MA,73.0,Severe,Severe,Severe,Moderate,Severe
Black Widow,2021.0,6.8,246603.0,"Action, Adventure, Sci-Fi",134.0,Film,PG-13,-1.0,None,Moderate,Mild,Mild,Moderate
The Last Duel,2021.0,7.7,6498.0,"Action, Drama, History",152.0,Film,R,-1.0,Severe,Severe,Moderate,Mild,Severe
Alice in Borderland,2021.0,7.7,33151.0,"Action, Fantasy, Mystery",50.0,Series,TV-MA,9.0,Moderate,Severe,Mild,Mild,Severe
Shang-Chi and the Legend of the Ten Rings,2021.0,7.9,109552.0,"Action, Adventure, Fantasy",132.0,Film,PG-13,-1.0,None,Moderate,Mild,Mild,Mild
Billions,2021.0,8.4,80562.0,Drama,60.0,Series,TV-MA,72.0,Moderate,None,Severe,Moderate,None
Resident Evil: Welcome to Raccoon City,2021.0,-1.0,-1.0,"Action, Horror, Mystery",107.0,Film,R,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Spectre,2015.0,6.8,407514.0,"Action, Adventure, Thriller",148.0,Film,PG-13,-1.0,Mild,Moderate,Mild,Mild,Moderate
Casino Royale,2006.0,8.0,613873.0,"Action, Adventure, Thriller",144.0,Film,PG-13,-1.0,Mild,Moderate,Mild,Mild,Moderate
Lucifer,2006.0,8.1,288801.0,"Crime, Drama, Fantasy",42.0,Series,TV-14,93.0,Mild,Mild,Mild,Moderate,Mild
The Morning Show,2006.0,8.4,73736.0,Drama,60.0,Series,TV-MA,20.0,Mild,None,Severe,Mild,Mild
Halloween Kills,2021.0,6.1,20383.0,"Horror, Thriller",105.0,Film,R,-1.0,None,Severe,Severe,Mild,Severe
There's Someone Inside Your House,2021.0,4.8,7724.0,"Horror, Mystery, Thriller",96.0,Film,TV-MA,-1.0,Mild,Severe,Moderate,Moderate,Moderate
Malignant,2021.0,6.3,53310.0,"Crime, Horror, Mystery",111.0,Film,R,-1.0,None,Severe,Moderate,None,Severe
Wolf,2021.0,4.1,229.0,"Drama, Mystery, Thriller",98.0,Film,None,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
La casa de papel,2021.0,8.2,393487.0,"Action, Crime, Drama",70.0,Series,TV-MA,41.0,Moderate,Moderate,Moderate,Mild,Moderate
"Tick, Tick... Boom!",2021.0,-1.0,-1.0,"Biography, Drama, Musical",115.0,Film,PG-13,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
The Night House,2020.0,6.5,14936.0,"Horror, Mystery, Thriller",107.0,Film,R,-1.0,Mild,Moderate,Moderate,Moderate,Severe
